s_no,area_type,availability,location,size,society,total_sqft,bath,balcony,price
4896,Built-up  Area,Ready To Move,Whitefield,2 BHK,Vastael,1400,2,1,80
4897,Super built-up  Area,18-Dec,Electronic City,3 BHK,,1310,2,1,37.83
4898,Built-up  Area,18-May,Vijayabank bank layout,2 BHK,,1100,2,1,48
4899,Super built-up  Area,Ready To Move,Ramanjaneyanagar,3 BHK,,1230,2,2,53.51
4900,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1750,3,2,130
4901,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1450,3,2,100
4902,Super built-up  Area,Ready To Move,Haralur Road,3 BHK,SNnia E,1810,3,2,126
4903,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,62.3
4904,Super built-up  Area,Ready To Move,Brookefield,3 BHK,Baentgi,1420,3,2,85
4905,Super built-up  Area,21-Dec,Old Airport Road,4 BHK,Jaades ,2658,5,3,187
4906,Super built-up  Area,18-Oct,6th block Koramangala,3 BHK,,1450,2,3,89.6
4907,Super built-up  Area,Ready To Move,D Group Employees Layout,4 BHK,,1200,4,1,230
4908,Built-up  Area,Ready To Move,Outer Ring Road East,2 BHK,Hoens T,1367,2,2,62
4909,Built-up  Area,18-Aug,Talaghattapura,3 BHK,Sodgere,2254,3,2,170
4910,Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2,2,42
4911,Plot  Area,Ready To Move,Sanjay nagar,5 Bedroom,,1200,4,0,185
4912,Super built-up  Area,Ready To Move,Kadugodi,3 BHK,KMnorab,1711,3,3,75
4913,Plot  Area,Ready To Move,Hosahalli Extension,9 Bedroom,,750,6,3,112
4914,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1120,2,2,37.97
4915,Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,47
4916,Built-up  Area,Ready To Move,Basavangudi,2 BHK,Asncyes,1560,2,2,145
4917,Super built-up  Area,Ready To Move,1Channasandra,14 BHK,,1250,15,0,125
4918,Super built-up  Area,18-Aug,Kanakpura Road,2 BHK,,1225,2,2,60
4919,Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,2,0,66
4920,Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1340,2,3,77
4921,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1846,3,3,145
4922,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1155,2,1,46
4923,Super built-up  Area,17-Jun,Balagere,2 BHK,Soresea,1205,2,1,70
4924,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2,1,36
4925,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140,2,2,38.65
4926,Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,ShshaSa,1300,2,1,63
4927,Super built-up  Area,Ready To Move,Bellandur,2 BHK,Soodsa ,1051,2,2,60
4928,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1134,2,1,45.36
4929,Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2500,4,1,260
4930,Plot  Area,18-May,Yemlur,8 Bedroom,Epllan ,12000,9,,1900
4931,Built-up  Area,Ready To Move,Basavanapura,2 BHK,Dwity T,1135,2,2,32.91
4932,Built-up  Area,Ready To Move,"Whitefield, ",3 BHK,,1745,3,2,77
4933,Plot  Area,Ready To Move,Banashankari,5 Bedroom,,500,5,2,92
4934,Super built-up  Area,Ready To Move,Kempegowda Nagar,3 BHK,Srowsrj,1665,3,2,105
4935,Super built-up  Area,17-Dec,Bellari Road,2 BHK,SaareNo,1220,2,2,48.79
4936,Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,,1868,3,2,113
4937,Built-up  Area,Ready To Move,Anandapura,3 Bedroom,,640,3,0,45
4938,Plot  Area,Ready To Move,Vaderahalli,4 Bedroom,,2300,4,,200
4939,Super built-up  Area,20-Dec,Akshayanagara East,2 BHK,,1210,2,1,76
4940,Super built-up  Area,Ready To Move,Ambalipura,2 BHK,SJodsed,1351,2,1,77
4941,Super built-up  Area,21-Dec,Hebbal,3 BHK,Oztarol,1636,3,1,119
4942,Plot  Area,Ready To Move,R.T. Nagar,5 Bedroom,,2400,6,1,450
4943,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NRowse ,1464,2,2,56
4944,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,418,1,1,12
4945,Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,62
4946,Super built-up  Area,18-Jul,Bannerghatta,3 BHK,Mamespa,2370,4,2,195
4947,Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,74.5
4948,Super built-up  Area,Ready To Move,Mallathahalli,2 BHK,DSvil S,1100,2,1,46
4949,Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1350,3,2,58
4950,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Srers T,1290,2,2,52
4951,Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,,1220,2,1,35.23
4952,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SollaMa,1846,3,2,155
4953,Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,1847,3,2,135
4954,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Adowslm,3100,4,2,350
4955,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1430,2,2,110
4956,Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2,1,45
4957,Plot  Area,Ready To Move,Attibele,3 Bedroom,,1350,3,1,85
4958,Built-up  Area,Ready To Move,Kammanahalli,3 Bedroom,,540,3,1,60
4959,Super built-up  Area,18-Sep,Hennur Road,3 BHK,Shxorm ,1590,3,2,96.5
4960,Built-up  Area,18-Apr,Peenya,3 BHK,,1286,3,1,67
4961,Built-up  Area,Ready To Move,Samethanahalli,2 BHK,,1141,2,2,40
4962,Super built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,1554,3,3,130
4963,Built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3520,3,3,430
4964,Super built-up  Area,19-Jan,Malleshwaram,5 BHK,,7500,7,3,1700
4965,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1749,3,2,112
4966,Plot  Area,Ready To Move,4th Phase JP Nagar,5 Bedroom,,2250,5,1,360
4967,Carpet  Area,Ready To Move,K R C kothanur,2 BHK,,1140,2,3,45
4968,Plot  Area,Ready To Move,Bommenahalli,4 Bedroom,Prana S,1632,3,1,128
4969,Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,ItRRVna,1000,2,1,41
4970,Super built-up  Area,Ready To Move,Nyanappana Halli,2 BHK,Salms G,1065,2,1,58
4971,Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2,2,96
4972,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,43
4973,Built-up  Area,Ready To Move,Srirampuram,7 BHK,,5,7,3,115
4974,Built-up  Area,Ready To Move,Gubbalala,3 BHK,Names H,1539,2,2,52.36
4975,Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,Saitya ,1342,2,2,115
4976,Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Feissx ,1004,2,1,49
4977,Super built-up  Area,Ready To Move,Ramagondanahalli,2 BHK,SVodsve,1295,2,2,95
4978,Super built-up  Area,17-Oct,Thanisandra,2 BHK,Bhmesy ,1098,2,1,74
4979,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1070,2,1,45.5
4980,Super built-up  Area,Ready To Move,Hosa Road,2 BHK,,1016,2,2,40
4981,Built-up  Area,Ready To Move,Bellandur,3 BHK,Srthaa ,1450,3,1,68
4982,Super built-up  Area,18-Apr,Yelahanka,1 BHK,Prensya,654,1,1,37
4983,Super built-up  Area,Ready To Move,Koramangala,4 BHK,,5985,4,,775
4984,Super built-up  Area,18-Aug,Yelachenahalli,2 BHK,,1080,2,2,38
4985,Super built-up  Area,21-Jun,Vijayanagar,2 BHK,Saahaat,1046,2,1,75
4986,Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1950,3,3,165
4987,Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610,3,1,84.53
4988,Super built-up  Area,Ready To Move,Doddakallasandra,3 BHK,,2493,3,,115
4989,Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1151,2,2,50.5
4990,Super built-up  Area,Ready To Move,Electronic City,2 BHK,PaanaCh,1125,2,1,58
4991,Super built-up  Area,18-Mar,Kammasandra,2 BHK,,992,2,2,25.79
4992,Super built-up  Area,Ready To Move,1st Block Jayanagar,2 BHK,,1000,3,2,60
4993,Plot  Area,Ready To Move,Banashankari Stage II,5 Bedroom,,2400,3,2,510
4994,Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,AxinoCi,1850,3,2,90
4995,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2,1,75
4996,Super built-up  Area,18-Mar,Hebbal,3 BHK,SNontle,2466 - 2856,,,226.5
4997,Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,1100,2,1,45
4998,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1095,2,1,38.33
4999,Super built-up  Area,20-Dec,Banashankari,3 BHK,,3580,3,1,411
5000,Plot  Area,18-Mar,Choodasandra,3 Bedroom,,900,4,3,155
5001,Super built-up  Area,Ready To Move,Kengeri Hobli,3 BHK,,1082,2,0,42
5002,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1350,2,3,47.24
5003,Super built-up  Area,17-Dec,Kadugodi,2 BHK,Alestrb,1314,2,2,78
5004,Super built-up  Area,18-May,Maithri Layout,2 BHK,,1290,2,3,40.63
5005,Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,WishiVa,1010,2,2,55
5006,Built-up  Area,Ready To Move,Shivaji Nagar,2 Bedroom,,2200,2,0,110
5007,Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1636,3,2,97
5008,Super built-up  Area,18-Jul,9th Phase JP Nagar,2 BHK,,1050,2,2,39
5009,Plot  Area,Ready To Move,7th Phase JP Nagar,2 Bedroom,,1200,2,2,200
5010,Super built-up  Area,18-Aug,Haralur Road,3 BHK,SNnia E,1520,2,2,125
5011,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,,2500,5,,110
5012,Super built-up  Area,20-Aug,Sarjapur  Road,2 BHK,Ahciace,1067,2,1,60
5013,Built-up  Area,Ready To Move,NRI Layout,2 BHK,,1060,2,2,35
5014,Super built-up  Area,18-Mar,Bommasandra,2 BHK,SSestth,955,2,1,35.28
5015,Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418,2,2,104
5016,Plot  Area,Ready To Move,8th Phase JP Nagar,9 Bedroom,,1200,8,,225
5017,Built-up  Area,Ready To Move,Anekal,2 BHK,,700,1,0,19.4
5018,Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,PrityFa,1366,2,1,83
5019,Built-up  Area,Ready To Move,Electronic City,2 BHK,PronsEn,1090,2,2,35.03
5020,Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1250,3,2,58
5021,Super built-up  Area,Ready To Move,Richards Town,4 BHK,,3600,4,3,450
5022,Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,,950,2,1,33
5023,Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Suurtni,1470,2,2,170
5024,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1250,2,2,40
5025,Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,800,4,1,180
5026,Super built-up  Area,Ready To Move,Badavala Nagar,3 BHK,DNncasa,1494,2,2,94.55
5027,Built-up  Area,18-May,Hennur Road,3 BHK,Maity W,1445,2,1,105
5028,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397,3,3,105
5029,Super built-up  Area,19-Dec,Vijayanagar,1 BHK,Saityat,606,1,1,40
5030,Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,1,34.5
5031,Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,,1170,2,2,40
5032,Super built-up  Area,18-Dec,Koramangala,4 BHK,Prood P,2461,6,2,353
5033,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Dwterai,1205,2,1,75
5034,Plot  Area,Ready To Move,Cottonpet,8 Bedroom,,1224,4,0,200
5035,Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,,660,1,0,75
5036,Super built-up  Area,Ready To Move,Dommasandra,2 BHK,,1153,2,2,43.5
5037,Plot  Area,Ready To Move,OMBR Layout,5 Bedroom,,2400,5,3,275
5038,Super built-up  Area,18-May,Old Madras Road,5 BHK,Brica E,4500,7,3,294
5039,Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,J isear,1200,2,2,62
5040,Built-up  Area,Ready To Move,Vignana Nagar,3 BHK,Mallad ,1450,3,3,42
5041,Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2,2,60
5042,Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1530,3,2,105
5043,Plot  Area,18-Feb,2nd Block Jayanagar,6 Bedroom,,825,6,,400
5044,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1575,3,3,101
5045,Super built-up  Area,Ready To Move,Whitefield,1 BHK,Pranthi,650,1,1,25
5046,Super built-up  Area,18-Apr,Sai Gardens,2 BHK,,1120,2,2,40
5047,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,BMoldar,1700,3,1,80
5048,Super built-up  Area,Ready To Move,Varthur,2 BHK,Ikmesay,1090,2,2,48
5049,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1897,4,2,93
5050,Plot  Area,18-Feb,Nelamangala,3 Bedroom,V2gesre,1200,3,2,72
5051,Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,40
5052,Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1437,2,1,71.13
5053,Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,,1856,3,1,120
5054,Plot  Area,Ready To Move,Singanayakanahalli,3 Bedroom,,1500,2,0,65
5055,Super built-up  Area,18-Dec,Hennur Road,2 BHK,Koagati,1036,2,1,59.45
5056,Super built-up  Area,Ready To Move,Attur Layout,6 BHK,,3000,8,,90
5057,Super built-up  Area,Ready To Move,Mico Layout,2 BHK,Inasy E,1125,2,2,40
5058,Super built-up  Area,18-Oct,Uttarahalli,3 BHK,,1320,2,3,55.44
5059,Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2215,4,1,310
5060,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1,1,16
5061,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1730,3,3,110
5062,Plot  Area,Ready To Move,Mahalakshmi Puram,4 Bedroom,,750,4,0,85
5063,Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1804,3,1,115
5064,Super built-up  Area,19-May,Thanisandra,3 BHK,G conTh,1795,3,2,140
5065,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Srayai ,1050,2,1,50
5066,Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Prndsde,2100,3,3,120
5067,Built-up  Area,Ready To Move,Rayasandra,3 BHK,,1199,2,1,48.5
5068,Plot  Area,Ready To Move,SBM Colony,3 Bedroom,,1350,2,2,280
5069,Super built-up  Area,Ready To Move,Vignana Nagar,2 BHK,,1100,2,2,47
5070,Plot  Area,Ready To Move,Udaya Nagar,2 Bedroom,,1000,1,1,75
5071,Super built-up  Area,22-Mar,Kanakapura,3 BHK,,1254,2,2,70
5072,Plot  Area,18-Apr,Medahalli,8 Bedroom,,600,8,,70
5073,Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Solle V,940,2,2,49
5074,Built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,MaeamSu,1280,2,2,80
5075,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Sulesil,2155,3,3,125
5076,Built-up  Area,Ready To Move,Sarjapur  Road,5 Bedroom,Reyle L,3200,5,3,140
5077,Super built-up  Area,18-Oct,Kasavanhalli,4 BHK,,4260,4,3,272
5078,Super built-up  Area,20-Aug,Hebbal,3 BHK,Magiaya,1255,2,1,95
5079,Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1388,3,3,69.99
5080,Built-up  Area,17-Jun, Whitefield,1 RK,Prtates,905,1,1,52
5081,Super built-up  Area,Ready To Move,VGP Layout,2 BHK,Vaurtar,1176,2,2,44
5082,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Hemai D,1390,2,2,61.16
5083,Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,2400,4,2,400
5084,Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1160,2,1,55
5085,Super built-up  Area,Ready To Move,Seegehalli,4 BHK,,2800,4,3,140
5086,Plot  Area,Ready To Move,5th Block Hbr Layout,4 Bedroom,,1200,4,2,205
5087,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PueraRi,1583,3,3,115
5088,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,,63
5089,Built-up  Area,Ready To Move,Rustam Bagh Layout,2 BHK,TealdEm,1170,2,2,86
5090,Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1350,2,,51
5091,Super built-up  Area,Ready To Move,Gottigere,2 BHK,HivanBr,1075,2,2,30
5092,Built-up  Area,Ready To Move,Hosa Road,2 BHK,,972,2,2,40
5093,Super built-up  Area,19-Jan,Bannerghatta Road,3 BHK,Hiatei ,1486,3,1,83.22
5094,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,555,1,0,37
5095,Plot  Area,Ready To Move,Vaishnavi Layout,4 Bedroom,Prsisge,4830,5,1,390
5096,Built-up  Area,Ready To Move,Cottonpet,2 BHK,,850,2,1,75
5097,Super built-up  Area,20-Dec,Binny Pete,3 BHK,Shestlo,1282,3,2,178
5098,Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4,3,198
5099,Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Puallhi,2383,5,1,215
5100,Carpet  Area,Ready To Move,Naganathapura,2 BHK,Malmsri,1103,2,1,55
5101,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1577,3,2,67
5102,Built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1465,3,2,80.01
5103,Built-up  Area,Ready To Move,Vimanapura,3 BHK,Inion P,1600,3,1,64
5104,Built-up  Area,Ready To Move,Uttarahalli,2 BHK,TGeepga,1090,2,2,45
5105,Super built-up  Area,19-Dec,Yelahanka,3 BHK,Goues A,1721,3,3,80.86
5106,Built-up  Area,Ready To Move,Seetharampalya,2 BHK,,1100,2,1,55
5107,Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1450,3,2,71
5108,Super built-up  Area,Ready To Move,Battarahalli,2 BHK,SraveHi,1071,2,1,62
5109,Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Saciatt,2266,3,2,169
5110,Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,Goourta,2065,3,2,130
5111,Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1800,3,2,90
5112,Built-up  Area,Ready To Move,Defence Colony,2 BHK,,1150,2,2,125
5113,Plot  Area,Ready To Move,Housing Board Layout Vijay Nagar,8 Bedroom,,1200,8,2,220
5114,Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1123,2,1,56
5115,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1884,3,3,98
5116,Plot  Area,Ready To Move,1st Block Jayanagar,7 Bedroom,,930,4,2,85
5117,Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1145,2,1,75
5118,Super built-up  Area,18-Apr,Hebbal,3 BHK,Arcia S,1328,2,2,60
5119,Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,950,2,1,55
5120,Super built-up  Area,Ready To Move,Thomas Town,2 BHK,TuiteIn,1250,2,,59
5121,Built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,DStra S,1115,2,0,46
5122,Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,Mauner ,1318,3,1,54
5123,Built-up  Area,Ready To Move,JP Nagar,3 BHK,,3300,4,3,160
5124,Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,,1280,2,1,48
5125,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1230,2,2,59
5126,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1420,2,2,60
5127,Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,,2111,4,3,120
5128,Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,,1100,2,1,54
5129,Super built-up  Area,Ready To Move,Harlur,3 BHK,,1750,3,2,136
5130,Built-up  Area,Ready To Move,RMV 2nd Stage,3 BHK,,2550,4,2,290
5131,Super built-up  Area,Ready To Move,Shampura,2 BHK,,700,1,2,35
5132,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1050,2,1,42
5133,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ihnueut,1235,2,3,90
5134,Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,Pantym ,1200,2,0,63
5135,Super built-up  Area,Ready To Move,Kengeri,2 BHK,,900,2,0,30
5136,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1146,2,1,38
5137,Plot  Area,Ready To Move,Yeshwanthpur,4 Bedroom,,1200,4,1,110
5138,Super built-up  Area,Ready To Move,Banashankari,1 BHK,,2400,1,1,200
5139,Plot  Area,Ready To Move,Marathahalli,6 Bedroom,,1200,5,2,108
5140,Built-up  Area,Ready To Move,Devarachikkanahalli,1 BHK,,615,1,1,24
5141,Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,1070,2,1,49.65
5142,Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,,1538,5,2,300
5143,Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,,1355,2,3,58.25
5144,Built-up  Area,Ready To Move,Venkatapura,4 BHK,ThBayah,3080,2,1,285
5145,Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,,1800,3,3,80
5146,Built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1400,2,3,50.06
5147,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Aklia R,1123,2,1,48
5148,Plot  Area,Ready To Move,Konanakunte,4 Bedroom,,1200,2,1,130
5149,Built-up  Area,Ready To Move,Kengeri,2 BHK,UKanema,787,2,1,31
5150,Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,45
5151,Super built-up  Area,Ready To Move,Seegehalli,2 BHK,,1096,2,1,41
5152,Plot  Area,Ready To Move,Vidyaranyapura,7 Bedroom,,1200,7,2,140
5153,Plot  Area,Ready To Move,R.T. Nagar,3 Bedroom,,1140,3,1,130
5154,Carpet  Area,Ready To Move,Venugopal Reddy Layout,2 BHK,Niiman ,1130,2,1,52
5155,Built-up  Area,Ready To Move,Electronic City,1 BHK,,550,1,1,12
5156,Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,,1058,2,2,85
5157,Built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1269,2,1,73
5158,Plot  Area,Ready To Move,Prithvi Layout,3 Bedroom,,946,3,,140
5159,Super built-up  Area,Ready To Move,4th Block Koramangala,4 BHK,,3400,6,,420
5160,Super built-up  Area,19-Jan,Kanakpura Road,4 BHK,PrityFa,2689,6,2,245
5161,Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1976,3,3,65.21
5162,Super built-up  Area,Ready To Move,Kothanur,3 BHK,Gilleon,1820,3,3,77
5163,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1329,2,1,56
5164,Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1350,2,1,80.99
5165,Plot  Area,Ready To Move,Nagarbhavi,4 Bedroom,,1250,3,0,175
5166,Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2,1,40
5167,Plot  Area,Ready To Move,Manganahalli,6 Bedroom,,800,6,2,98
5168,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,71.5
5169,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,938,2,0,35
5170,Super built-up  Area,Ready To Move,Kuvempu Nagar,1 BHK,,450,1,1,25
5171,Built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,Komesa ,1100,2,2,70
5172,Built-up  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,3,1,95
5173,Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1060,2,1,40
5174,Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1125,2,2,40
5175,Built-up  Area,Ready To Move,Whitefield,1 BHK,SatraNa,810,1,0,21
5176,Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1060,2,1,65
5177,Plot  Area,Ready To Move,Anandapura,4 Bedroom,,1749,4,0,90
5178,Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,,1200,2,2,75
5179,Super built-up  Area,Ready To Move,Cleveland Town,2 BHK,Lehidrc,1100,2,1,85
5180,Super built-up  Area,18-May,Rachenahalli,1 BHK,AsNowre,660 - 700,1,0,32.64
5181,Plot  Area,Ready To Move,Jalahalli East,4 Bedroom,,720,4,2,48
5182,Plot  Area,Ready To Move,Gunjur,5 Bedroom,Chranya,6613,7,,950
5183,Super built-up  Area,Ready To Move,Hoodi,3 BHK,Goeur G,1925,3,3,110
5184,Built-up  Area,Ready To Move,Kengeri,1 BHK,,502,1,1,25
5185,Built-up  Area,Ready To Move,Bommenahalli,3 Bedroom,Prood G,3339,3,0,250
5186,Built-up  Area,Ready To Move,Begur,3 BHK,Arhtsth,1475,2,2,74
5187,Super built-up  Area,18-Aug,Indra Nagar,3 BHK,,1550,3,2,258
5188,Super built-up  Area,18-Apr,Peenya,2 BHK,,966,2,1,49
5189,Plot  Area,Ready To Move,t.c palya,6 Bedroom,,1350,6,3,160
5190,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,75
5191,Plot  Area,Ready To Move,Bagalur Main Road,5 Bedroom,,4400,4,1,350
5192,Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1559,3,2,120
5193,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2,1,63
5194,Plot  Area,Ready To Move,Rajaji Nagar,3 Bedroom,,2790,3,0,950
5195,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,53.58
5196,Plot  Area,Ready To Move,Varthur Road,4 Bedroom,,1300,3,0,75
5197,Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2,2,58
5198,Plot  Area,Ready To Move,Ilyas Nagar,4 Bedroom,,900,4,1,75
5199,Super built-up  Area,Ready To Move,Channasandra,2 BHK,Unm 2El,1104,2,1,35.5
5200,Built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,900,2,2,45
